distance_m,amplitude_dB,residual_dB
1.227585738928056334e-03,-5.972502126523539800e+01,-5.972502075673368438e+01
1.244174735400057057e-03,-6.043393715514821452e+01,-6.043393704457244553e+01
1.260763731872057780e-03,-6.422624703410042457e+01,-6.422624804200397364e+01
1.277352728344058504e-03,-7.412711866207720846e+01,-7.412711650453590551e+01
1.293941724816059227e-03,-7.074055866846204310e+01,-7.074054473346133420e+01
1.310530721288060167e-03,-6.506648613763255184e+01,-6.506649529284489120e+01
1.327119717760060890e-03,-6.359686515386505334e+01,-6.359685632412599432e+01
1.343708714232061613e-03,-6.293501929598828326e+01,-6.293502690814897704e+01
1.360297710704062336e-03,-6.824111266034995538e+01,-6.824109782098506116e+01
1.376886707176063060e-03,-8.514920640542922570e+01,-8.514910565505115869e+01
1.393475703648063783e-03,-7.276983974858571003e+01,-7.276985984679468800e+01
1.410064700120064723e-03,-8.123801086977509556e+01,-8.123805780395672116e+01
1.426653696592065446e-03,-7.518558714534437115e+01,-7.518555363475607578e+01
1.443242693064066169e-03,-7.105476138003430719e+01,-7.105476426862122707e+01
1.459831689536066892e-03,-6.877149199408263769e+01,-6.877149166117284551e+01
1.476420686008067615e-03,-7.854338530421154019e+01,-7.854336021487773678e+01
1.493009682480068339e-03,-7.160119949829267227e+01,-7.160121483230449257e+01
1.509598678952069279e-03,-6.494914521299732257e+01,-6.494914765939849133e+01
1.526187675424070002e-03,-6.023744368362315527e+01,-6.023743968097293333e+01
1.542776671896070725e-03,-6.243380778840128187e+01,-6.243381487798195195e+01
1.559365668368071448e-03,-6.804850116959374873e+01,-6.804848725074988636e+01
1.575954664840072171e-03,-7.411111974603974772e+01,-7.411114097168668025e+01
1.592543661312072895e-03,-7.928289553470688134e+01,-7.928284279005164592e+01
1.609132657784073835e-03,-7.509393745885530791e+01,-7.509397086737800464e+01
1.625721654256074558e-03,-7.289071888430638069e+01,-7.289069800878910144e+01
1.642310650728075281e-03,-6.596584204080139102e+01,-6.596584486406668191e+01
1.658899647200076004e-03,-6.350433733384750212e+01,-6.350433489653510577e+01
1.675488643672076727e-03,-6.688159927465484600e+01,-6.688160896569621627e+01
1.692077640144077450e-03,-6.818685456182808480e+01,-6.818684110722800540e+01
1.708666636616078391e-03,-6.580369638108319919e+01,-6.580370065103524269e+01
1.725255633088079114e-03,-6.461696740988381293e+01,-6.461696657374464792e+01
1.741844629560079837e-03,-6.680816547089781920e+01,-6.680816359470455268e+01
1.758433626032080560e-03,-7.298775658835312186e+01,-7.298777478801055452e+01
1.775022622504081283e-03,-7.453438091498730955e+01,-7.453437546948778447e+01
1.791611618976082006e-03,-6.370515589072519447e+01,-6.370515314571659360e+01
1.808200615448082946e-03,-6.042660668776650823e+01,-6.042660839669029826e+01
1.824789611920083670e-03,-6.193279872350860416e+01,-6.193279679201411625e+01
1.841378608392084393e-03,-6.730522889166032030e+01,-6.730523492283566611e+01
1.857967604864085116e-03,-7.434052099842362793e+01,-7.434049046708962294e+01
1.874556601336085839e-03,-7.323711367068585787e+01,-7.323713193165357893e+01
1.891145597808086779e-03,-7.678228122268288303e+01,-7.678224754403500185e+01
1.907734594280087502e-03,-7.167598391573848460e+01,-7.167600240526132893e+01
1.924323590752088226e-03,-6.564237039465781720e+01,-6.564236322829547987e+01
1.940912587224088949e-03,-6.504906731457980129e+01,-6.504907124280029507e+01
1.957501583696089672e-03,-7.120054191825171586e+01,-7.120054912023218208e+01
1.974090580168090612e-03,-7.077232895476187480e+01,-7.077231266234346663e+01
1.990679576640091118e-03,-6.763335440985048308e+01,-6.763336126859044839e+01
2.007268573112092058e-03,-6.947386543023378636e+01,-6.947386022770488978e+01
2.023857569584092565e-03,-7.302612829380564108e+01,-7.302613081142571616e+01
2.040446566056093505e-03,-7.762777230883885693e+01,-7.762773776780056778e+01
2.057035562528094445e-03,-7.690822895647323776e+01,-7.690824996310183792e+01
2.073624559000094951e-03,-7.086084209688065982e+01,-7.086085927198352863e+01
2.090213555472095891e-03,-6.766452591208161493e+01,-6.766451303629695246e+01
2.106802551944096397e-03,-6.375208018506607743e+01,-6.375208292689704592e+01
2.123391548416097337e-03,-6.227086878846787243e+01,-6.227086725136815204e+01
2.139980544888098277e-03,-6.500133817847299156e+01,-6.500134239755510634e+01
2.156569541360098784e-03,-6.946596823931216136e+01,-6.946595982918685763e+01
2.173158537832099724e-03,-7.048310471830519930e+01,-7.048311378204972755e+01
2.189747534304100230e-03,-7.077647037884277381e+01,-7.077646018488343316e+01
2.206336530776101170e-03,-7.019085579482914738e+01,-7.019085879945650674e+01
2.222925527248101676e-03,-6.722551025479361897e+01,-6.722550646316371115e+01
2.239514523720102616e-03,-6.779803133528994863e+01,-6.779804256617482849e+01
2.256103520192103556e-03,-6.930847713014588862e+01,-6.930846401161366543e+01
2.272692516664104063e-03,-6.432159426038636241e+01,-6.432159545722660710e+01
2.289281513136105003e-03,-6.585547813555456287e+01,-6.585547845987362336e+01
2.305870509608105509e-03,-8.043317979533121331e+01,-8.043318874894090698e+01
2.322459506080106449e-03,-7.407347763837461230e+01,-7.407345695943428154e+01
2.339048502552107389e-03,-7.394747474802559850e+01,-7.394749977569864541e+01
2.355637499024107896e-03,-8.619507106986407052e+01,-8.619497214779806882e+01
2.372226495496108836e-03,-8.174825391660881735e+01,-8.174818208278004761e+01
2.388815491968109342e-03,-8.152669065710723828e+01,-8.152676068134073262e+01
2.405404488440110282e-03,-9.191801740515984420e+01,-9.191811661194958560e+01
2.421993484912110788e-03,-8.680437891004129369e+01,-8.680439675495108531e+01
2.438582481384111728e-03,-7.021297659868071150e+01,-7.021295757690170092e+01
2.455171477856112668e-03,-6.554299009901870932e+01,-6.554300118452316326e+01
2.471760474328113175e-03,-7.096047034355864014e+01,-7.096044962547910018e+01
2.488349470800114115e-03,-7.611356035989537361e+01,-7.611353039167569534e+01
2.504938467272114621e-03,-6.987465172298567495e+01,-6.987466836203536502e+01
2.521527463744115561e-03,-7.409144433093503324e+01,-7.409141592212093030e+01
2.538116460216116501e-03,-8.490455634384944972e+01,-8.490449187564070144e+01
2.554705456688117007e-03,-7.358658319582407614e+01,-7.358660809632849009e+01
2.571294453160117947e-03,-7.544333318584196491e+01,-7.544330604256228412e+01
2.587883449632118454e-03,-7.511869415708274289e+01,-7.511869812191248741e+01
2.604472446104119394e-03,-6.969107388925915814e+01,-6.969107555582365876e+01
2.621061442576120334e-03,-6.847382945006290811e+01,-6.847382576250143416e+01
2.637650439048120840e-03,-7.634882211707706290e+01,-7.634883123014503781e+01
2.654239435520121780e-03,-7.424459349689537646e+01,-7.424460669602720486e+01
2.670828431992122286e-03,-6.704282151842637916e+01,-6.704282224040683502e+01
2.687417428464123226e-03,-6.486630644399131995e+01,-6.486630210498692861e+01
