distance_m,amplitude_dB,residual_dB
4.827397973352221504e-03,-6.671999358127993673e+01,-6.671998845621754981e+01
4.843986969824221576e-03,-6.790014623875407551e+01,-6.790015064124327182e+01
4.860575966296222516e-03,-6.792835489040972163e+01,-6.792835234760654828e+01
4.877164962768223457e-03,-7.309680267312759838e+01,-7.309680392162097462e+01
4.893753959240224397e-03,-7.930257206215885901e+01,-7.930257050446246581e+01
4.910342955712225337e-03,-7.677671492826367228e+01,-7.677672555493948892e+01
4.926931952184225409e-03,-7.418349865869842574e+01,-7.418349196841805337e+01
4.943520948656226349e-03,-7.713131799735202776e+01,-7.713132141396673092e+01
4.960109945128227289e-03,-8.751266253201910672e+01,-8.751260598650235067e+01
4.976698941600228229e-03,-7.010863274410495194e+01,-7.010864030497776866e+01
4.993287938072229169e-03,-6.499957078076656103e+01,-6.499956659728573527e+01
5.009876934544229242e-03,-6.501110119845567681e+01,-6.501110466275108024e+01
5.026465931016230182e-03,-6.727694461878601828e+01,-6.727694264337897323e+01
5.043054927488231122e-03,-7.153060507621302122e+01,-7.153060165897494471e+01
5.059643923960232062e-03,-7.277822810882402393e+01,-7.277823593992393114e+01
5.076232920432233002e-03,-8.058257837258933876e+01,-8.058255518428582320e+01
5.092821916904233075e-03,-7.362792071842481789e+01,-7.362792176161325131e+01
5.109410913376234015e-03,-6.982194384672682475e+01,-6.982194291835925526e+01
5.125999909848234955e-03,-7.607594777114975670e+01,-7.607594749651924815e+01
5.142588906320235895e-03,-7.746564136077915919e+01,-7.746565748371990878e+01
5.159177902792236835e-03,-7.550377458727376734e+01,-7.550376110478973146e+01
5.175766899264236907e-03,-7.361183934868317635e+01,-7.361184693560552716e+01
5.192355895736237847e-03,-7.068090998907096889e+01,-7.068090442624023240e+01
5.208944892208238787e-03,-6.847572474119263575e+01,-6.847573105438992513e+01
5.225533888680239727e-03,-6.605974087865256195e+01,-6.605973671427882721e+01
5.242122885152240667e-03,-6.984822892619308732e+01,-6.984823405721118661e+01
5.258711881624240740e-03,-8.184390180409434379e+01,-8.184387498182428544e+01
5.275300878096241680e-03,-7.113153010183653180e+01,-7.113153609923649867e+01
5.291889874568242620e-03,-6.613252281952921408e+01,-6.613251915245189139e+01
5.308478871040243560e-03,-6.521062980234736983e+01,-6.521063371102515305e+01
5.325067867512243633e-03,-6.576571601689634861e+01,-6.576571146106276444e+01
5.341656863984244573e-03,-6.974003229693208539e+01,-6.974003957165409417e+01
5.358245860456245513e-03,-7.152581167777714199e+01,-7.152580730290884503e+01
5.374834856928246453e-03,-6.866216068536868988e+01,-6.866216327041739476e+01
5.391423853400247393e-03,-7.428046256450313933e+01,-7.428045463239966750e+01
5.408012849872247466e-03,-7.794731036707879923e+01,-7.794729160192454742e+01
5.424601846344248406e-03,-7.249970856771091121e+01,-7.249971787620413011e+01
5.441190842816249346e-03,-7.650534194841780788e+01,-7.650533338356098056e+01
5.457779839288250286e-03,-8.846997156763188741e+01,-8.847002783781449864e+01
5.474368835760251226e-03,-8.471911256020163705e+01,-8.471907241606835726e+01
5.490957832232251298e-03,-8.033877666298580777e+01,-8.033876904647819117e+01
5.507546828704252238e-03,-7.341593482038095431e+01,-7.341594303741219107e+01
5.524135825176253178e-03,-7.966293771333910456e+01,-7.966291482590276019e+01
5.540724821648254118e-03,-7.651005019101673099e+01,-7.651004647189205343e+01
5.557313818120255058e-03,-7.757299495867957262e+01,-7.757298587357811925e+01
5.573902814592255131e-03,-6.901583744334038784e+01,-6.901584416969970448e+01
5.590491811064256071e-03,-6.454721067124320655e+01,-6.454720679459499877e+01
5.607080807536257011e-03,-6.306530329609237384e+01,-6.306530618028413926e+01
5.623669804008257951e-03,-6.405888935434776954e+01,-6.405888680909491484e+01
5.640258800480258891e-03,-6.620233616437720059e+01,-6.620233849680887772e+01
5.656847796952258964e-03,-6.776362187084110644e+01,-6.776361929928214067e+01
5.673436793424259904e-03,-6.990443655106233223e+01,-6.990444084112218093e+01
5.690025789896260844e-03,-7.035682450819143696e+01,-7.035681705388989826e+01
5.706614786368261784e-03,-6.966387009839232292e+01,-6.966387722974101848e+01
5.723203782840262724e-03,-7.981673618636035883e+01,-7.981671336431807617e+01
5.739792779312262797e-03,-7.229935309389108511e+01,-7.229934829841799626e+01
5.756381775784263737e-03,-6.537675999626185330e+01,-6.537676239742914674e+01
5.772970772256264677e-03,-6.200187816032092769e+01,-6.200187620811172451e+01
