file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38022.295335,20.378840
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50556.707753,20.387826
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12689.686943,20.404328
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25277.766243,20.387984
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37812.178661,20.396976
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12588.079300,20.371535
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25122.491718,20.393264
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12534.412418,20.415133
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.530138,20.392523
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25946.240442,20.392285
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38789.458829,20.390209
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51534.810717,20.383235
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64225.279545,20.387647
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76813.359733,20.385005
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89347.562891,20.389179
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12930.710303,20.392045
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25773.928690,20.389040
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38519.280579,20.380099
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51209.749407,20.386409
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63797.829594,20.383472
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76332.032753,20.388609
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12843.218387,20.386016
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25588.570276,20.374067
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38279.039104,20.384505
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50867.119291,20.381294
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63401.322450,20.387908
3mB1mB_sweep_ofdr_run1_2026-09-01_17-37-32.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12745.351889,20.362041
